Tripulante;Tipo;Evento;Início;Origem;Destino;Fim;Tempo;Layover;Bloco;Linha;Tipo Viagem;Sentido;Chegada garagem;Veículo;Mensagem;Funcionário
5M;Motorista;Viagem;16:45;FER;GEN73;17:33;00:48;00:00;5;4;Normal;Ida;16:38;4711;;
7M;Motorista;Viagem;16:52;GEN73;FER;17:44;00:52;00:05;1;4;Normal;Volta;16:52;4919;;
4M;Motorista;Viagem;17:07;FER;GEN73;17:58;00:51;00:00;4;4;Normal;Ida;17:01;4926;;
8M;Motorista;Viagem;17:12;GEN73;FER;18:06;00:54;00:07;3;4;Normal;Volta;17:12;4928;;
6M;Motorista;Viagem;17:29;FER;GEN73;18:22;00:53;00:00;2;4;Normal;Ida;17:22;4700;;
5M;Motorista;Viagem;17:33;GEN73;FER;18:28;00:55;00:09;5;4;Normal;Volta;17:33;4711;;
7M;Motorista;Viagem;17:49;FER;GEN73;18:41;00:52;00:00;1;4;Normal;Ida;17:44;4919;;
4M;Motorista;Viagem;17:58;GEN73;FER;18:52;00:54;00:00;4;4;Normal;Volta;17:58;4926;;
8M;Motorista;Viagem;18:13;FER;GEN73;19:04;00:51;00:00;3;4;Normal;Ida;18:06;4928;;
6M;Motorista;Viagem;18:22;GEN73;FER;19:20;00:58;00:12;2;4;Normal;Volta;18:22;4700;;
5M;Motorista;Viagem;18:37;FER;GEN73;19:27;00:50;00:00;5;4;Normal;Ida;18:28;4711;;
7M;Motorista;Viagem;18:41;GEN73;FER;19:39;00:58;00:00;1;4;Normal;Volta;18:41;4919;;
4M;Motorista;Deslocamento;18:52;FER;BASE2;19:17;00:25;00:00;4;;;;18:52;4926;;
8M;Motorista;Viagem;19:04;GEN73;FER;19:56;00:52;00:00;3;4;Normal;Volta;19:04;4928;;
5M;Motorista;Deslocamento;19:27;GEN73;BASE2;19:37;00:10;00:00;5;;;;19:27;4711;;
6M;Motorista;Viagem;19:32;FER;GEN73;20:11;00:39;00:00;2;4;Normal;Ida;19:20;4700;;
7M;Motorista;Intra-jornada não remunerada padrão;19:39;FER;FER;21:18;01:39;00:00;;;;;19:39;;;
8M;Motorista;Intra-jornada não remunerada padrão;19:56;FER;FER;20:29;00:33;00:00;;;;;19:56;;;
6M;Motorista;Viagem;20:11;GEN73;FER;20:54;00:43;00:00;2;4;Normal;Volta;20:11;4700;;
8M;Motorista;Viagem;20:29;FER;GEN73;21:07;00:38;00:00;3;4;Normal;Ida;20:29;4928;;
6M;Motorista;Intra-jornada não remunerada padrão;20:54;FER;FER;21:44;00:50;00:00;;;;;20:54;;;
8M;Motorista;Viagem;21:07;GEN73;FER;21:50;00:43;00:10;3;4;Normal;Volta;21:07;4928;;
7M;Motorista;Viagem;21:18;FER;GEN73;21:53;00:35;00:00;1;4;Normal;Ida;21:18;4919;;
6M;Motorista;Viagem;21:44;FER;GEN73;22:20;00:36;00:00;2;4;Normal;Ida;21:44;4700;;
7M;Motorista;Viagem;21:53;GEN73;FER;22:36;00:43;00:00;1;4;Normal;Volta;21:53;4919;;
8M;Motorista;Viagem;22:00;FER;GEN73;22:40;00:40;00:00;3;4;Normal;Ida;21:50;4928;;
6M;Motorista;Viagem;22:20;GEN73;FER;23:02;00:42;00:00;2;4;Normal;Volta;22:20;4700;;
7M;Motorista;Deslocamento;22:36;FER;BASE2;23:01;00:25;00:00;1;;;;22:36;4919;;
8M;Motorista;Viagem;22:40;GEN73;FER;23:22;00:42;00:08;3;4;Normal;Volta;22:40;4928;;
6M;Motorista;Deslocamento;23:02;FER;BASE2;23:27;00:25;00:00;2;;;;23:02;4700;;
8M;Motorista;Viagem;23:30;FER;GEN73;24:04:00;00:34;00:00;3;4;Normal;Ida;23:22;4928;;
8M;Motorista;Viagem;24:04:00;GEN73;FER;24:33:00;00:29;00:25;3;4;Normal;Volta;24:04:00;4928;;
8M;Motorista;Viagem;24:58:00;FER;GEN73;25:22:00;00:24;00:00;3;4;Normal;Ida;24:33:00;4928;;
8M;Motorista;Viagem;25:22:00;GEN73;FER;25:48:00;00:26;00:38;3;4;Normal;Volta;25:22:00;4928;;
8M;Motorista;Viagem;26:26:00;FER;GEN73;26:47:00;00:21;00:00;3;4;Normal;Ida;25:48:00;4928;;
8M;Motorista;Viagem;26:47:00;GEN73;FER;27:15:00;00:28;00:00;3;4;Normal;Volta;26:47:00;4928;;
8M;Motorista;Deslocamento;27:15:00;FER;BASE2;27:40:00;00:25;00:00;3;;;;27:15:00;4928;;
